element,integration_point,centroid_x,centroid_y,S11,S22,S12
1,1,0.0333333338300387,0.0166666669150194,118455303.30576494,8584318.681024905,17030262.76204661
2,1,0.0166666669150194,0.0333333338300387,104499214.41640201,31349764.3249206,14658512.866595482
3,1,0.0833333345750968,0.0166666669150194,98517705.48769045,1329921.8691287823,4646224.479915181
4,1,0.0666666676600774,0.0333333338300387,102506639.80736272,3799719.6315042377,2907335.0792865744
5,1,0.133333337803682,0.0166666669150194,94566406.65661713,-142049.06986593083,1422752.180409949
6,1,0.116666669646899,0.0333333338300387,100396466.85116279,1893550.278170485,-694925.5519085467
7,1,0.183333337306976,0.0166666669150194,94649346.73798347,-463830.4348518923,253816.76188666828
8,1,0.16666667163372,0.0333333338300387,99409852.21489792,1310984.5976183042,-1505692.4955540283
9,1,0.233333334326744,0.0166666669150194,95814506.60077612,-454122.16766773164,-164721.61312012142
10,1,0.216666668653488,0.0333333338300387,99136677.65692483,882368.8408305272,-1418976.710901095
11,1,0.283333341280619,0.0166666669150194,97070951.8931165,-354377.5837856084,-272034.6288631443
12,1,0.26666667064031,0.0333333338300387,99199697.23607305,561435.022921335,-1091723.4446801594
13,1,0.333333333333333,0.0166666669150194,98100191.88132656,-247774.17138004303,-255462.5386302254
14,1,0.316666672627131,0.0333333338300387,99378229.50567311,337805.6999813765,-757205.5810620326
15,1,0.383333335320155,0.0166666669150194,98844084.40153117,-160762.46104069054,-199400.75264774758
16,1,0.366666664679845,0.0333333338300387,99565146.61727063,191712.24940318242,-488429.9667320944
17,1,0.433333327372869,0.0166666669150194,99339578.08909151,-97958.99157763273,-140273.31821744685
18,1,0.416666666666667,0.0333333338300387,99718742.94151308,101635.10095387697,-296093.0005867224
19,1,0.48333332935969,0.0166666669150194,99648583.03079186,-56121.162462852895,-91509.49764024142
20,1,0.466666658719381,0.0333333338300387,99830091.8051698,49195.123245850205,-168731.63781168632
21,1,0.533333341280619,0.0166666669150194,99829691.75288628,-29996.934832036495,-55940.47357272075
22,1,0.51666667064031,0.0333333338300387,99904160.72711483,20552.146434035152,-89599.18352418307
23,1,0.583333353201548,0.0166666669150194,99928960.09930572,-14651.434440974146,-32056.825897633396
24,1,0.566666682561239,0.0333333338300387,99950059.17750755,6113.292554341257,-43327.85041162739
25,1,0.633333325386047,0.0166666669150194,99979011.14700516,-6214.2254236750305,-17055.69821625064
26,1,0.616666674613953,0.0333333338300387,99976632.5798774,-349.69026946276426,-17994.23208389051
27,1,0.683333317438761,0.0166666669150194,100001275.36704183,-1943.3436582274735,-8192.799620952333
28,1,0.666666646798452,0.0333333338300387,99990896.30299895,-2648.678625538945,-5208.537255843315
29,1,0.73333332935969,0.0166666669150194,100008948.20990013,-33.07738911360502,-3269.4953812515664
30,1,0.716666658719381,0.0333333338300387,99997819.98100623,-2979.9594689048827,519.9584975720177
31,1,0.783333341280619,0.0166666669150194,100009655.92451175,637.5935169048607,-713.7939479568669
32,1,0.76666667064031,0.0333333338300387,100000649.72297485,-2522.623466692865,2561.780929816289
33,1,0.833333353201548,0.0166666669150194,100007519.23104046,734.016201723367,498.1443292917921
34,1,0.816666682561239,0.0333333338300387,100001365.50772098,-1849.5315203256905,2850.486936103506
35,1,0.883333325386047,0.0166666669150194,100004623.41361132,642.9632503576577,955.5211939791338
36,1,0.866666674613953,0.0333333338300387,100001101.19572532,-1191.3943928182125,2397.675322327843
37,1,0.933333317438761,0.0166666669150194,100002023.13505726,570.0370466932654,913.3822532048727
38,1,0.916666646798452,0.0333333338300387,100000477.45761934,-600.8235472366214,1644.7579193844692
39,1,0.98333332935969,0.0166666669150194,100000415.6482921,417.048103120178,417.0481976989224
40,1,0.966666658719381,0.0333333338300387,99999877.33455724,-73.70310331135988,694.1041489769044
41,1,0.0333333338300387,0.0666666676600774,99416093.3159744,14406027.32349522,12813935.42361401
42,1,0.0166666669150194,0.0833333345750968,99228993.19290243,29768697.957870726,8728204.963539062
43,1,0.0833333345750968,0.0666666676600774,103154812.83521895,5960296.391025152,7448339.817827438
44,1,0.0666666676600774,0.0833333345750968,101711950.33620739,15094784.429565124,5377517.55718518
45,1,0.133333337803682,0.0666666676600774,100405923.69753255,1925073.0994030386,2738879.4519900386
46,1,0.116666669646899,0.0833333345750968,101870146.31872888,5574896.436078124,1362021.0275940106
47,1,0.183333337306976,0.0666666676600774,99115143.54611297,328622.3683351688,575114.4045537796
48,1,0.16666667163372,0.0833333345750968,101383661.0045114,2218394.291496694,-544425.0318291876
49,1,0.233333334326744,0.0666666676600774,98797547.69928217,-248064.3513116911,-284966.6895881331
50,1,0.216666668653488,0.0833333345750968,100897340.309932,863281.3974808715,-1149503.9075884493
51,1,0.283333341280619,0.0666666676600774,98913390.80492818,-392919.7475615479,-532048.2957066197
52,1,0.26666667064031,0.0833333345750968,100541780.9517286,275205.6244222373,-1150341.0477302119
53,1,0.333333333333333,0.0666666676600774,99167136.68461327,-365837.03688476235,-516273.69247219944
54,1,0.316666672627131,0.0833333345750968,100309974.2606228,26055.28914683312,-929470.0671372004
55,1,0.383333335320155,0.0666666676600774,99422263.64296027,-284564.3316314034,-409804.0059110248
56,1,0.366666664679845,0.0833333345750968,100168359.57034983,-65470.171163808554,-669662.937377935
57,1,0.433333327372869,0.0666666676600774,99628297.13337587,-199850.92617013678,-291274.1400388478
58,1,0.416666666666667,0.0833333345750968,100086045.0767051,-85429.9015079625,-445319.56859231606
59,1,0.48333332935969,0.0666666676600774,99776247.78569387,-130284.94167392701,-191341.36556033487
60,1,0.466666658719381,0.0833333345750968,100040443.25933377,-76207.08838276565,-277030.36277937435
61,1,0.533333341280619,0.0666666676600774,99874097.90975657,-79657.24476018175,-117559.77356316517
62,1,0.51666667064031,0.0833333345750968,100016537.30630384,-58198.085490942,-161686.32197616872
63,1,0.583333353201548,0.0666666676600774,99934507.92672451,-45724.21005636826,-67638.76071137418
