node,x,y,U1,U2
1,0.0,0.0,3.3278454508988463e-32,1.2095006941071894e-32
2,0.05,0.0,2.759047841042323e-05,1.549152539875107e-05
3,0.1,0.0,5.095208067605756e-05,2.2543409075666053e-05
4,0.15,0.0,7.347804039950495e-05,2.6357100515992416e-05
5,0.2,0.0,9.604672853786908e-05,2.8440483654123487e-05
6,0.25,0.0,0.00011889214222692429,2.956924225133051e-05
7,0.3,0.0,0.00014202959186758996,3.019014015554502e-05
8,0.35,0.0,0.00016540447015090233,3.055882925038537e-05
9,0.4,0.0,0.0001889502646447115,3.081571870672299e-05
10,0.45,0.0,0.00021260953369560127,3.103319012413399e-05
11,0.5,0.0,0.00023633940114779918,3.124515500664797e-05
12,0.55,0.0,0.00026011052371794724,3.14650187480396e-05
13,0.6,0.0,0.0002839041855069099,3.169612721129455e-05
14,0.65,0.0,0.0003077091329909556,3.1937507019648016e-05
15,0.7,0.0,0.00033151910498395204,3.218679450103108e-05
16,0.75,0.0,0.0003553307673971108,3.2441568830780516e-05
17,0.8,0.0,0.00037914255040871276,3.2699843866605804e-05
18,0.85,0.0,0.0004029538177963155,3.2960149783808725e-05
19,0.9,0.0,0.0004267643736345019,3.322144612282369e-05
20,0.95,0.0,0.0004505743441403085,3.3483001075047865e-05
21,1.0,0.0,0.0004743839428388635,3.374434188910576e-05
22,0.0,0.05,4.949625045144532e-32,6.472845545781873e-33
23,0.05,0.05,2.264149677386805e-05,9.074317615885266e-06
24,0.1,0.05,4.6776431184847044e-05,1.5823078082253243e-05
25,0.15,0.05,7.054510064926413e-05,1.956853588122607e-05
26,0.2,0.05,9.412046990988771e-05,2.1569380115964485e-05
27,0.25,0.05,0.00011766141302235382,2.2617224499740223e-05
28,0.3,0.05,0.00014124029171204446,2.317212502116887e-05
29,0.35,0.05,0.0001648776374396633,2.3492678738178784e-05
30,0.4,0.05,0.00018856993668353987,2.3717150087938263e-05
31,0.45,0.05,0.00021230522633198178,2.3914182305823817e-05
32,0.5,0.05,0.00023607078757576175,2.4114036794502693e-05
33,0.55,0.05,0.0002598560302087864,2.4327184252705652e-05
34,0.6,0.05,0.00028365323239386145,2.4554855810308964e-05
35,0.65,0.05,0.0003074571946579782,2.4794669403094665e-05
36,0.7,0.05,0.00033126474582573825,2.5043383459649336e-05
37,0.75,0.05,0.00035507396915158073,2.529806455449547e-05
38,0.8,0.05,0.0003788838335588075,2.555644872282765e-05
39,0.85,0.05,0.00040269382031300695,2.581693021877736e-05
40,0.9,0.05,0.00042650366855411247,2.6078411722622873e-05
41,0.95,0.05,0.00045031335467431274,2.634013504565001e-05
42,1.0,0.05,0.00047412286025656607,2.6601554254253277e-05
43,0.0,0.1,4.75079273634927e-32,4.0907514199244475e-33
44,0.05,0.1,2.1499615492790136e-05,5.403174576882909e-06
45,0.1,0.1,4.4638547776227984e-05,9.873995318096715e-06
46,0.15,0.1,6.849514001615016e-05,1.2855034886217272e-05
47,0.2,0.1,9.24756487480487e-05,1.4567970384551569e-05
48,0.25,0.1,0.0001164371606176645,1.550119382344967e-05
49,0.3,0.1,0.00014035602808781081,1.60133304570161e-05
50,0.35,0.1,0.00016423748560331127,1.6322207732711018e-05
51,0.4,0.1,0.00018809177719064917,1.6547806372417562e-05
52,0.45,0.1,0.00021192788147801937,1.6750291770892166e-05
53,0.5,0.1,0.00023575248371636266,1.6956141685511968e-05
54,0.55,0.1,0.00025957010770210324,1.7174354062720303e-05
55,0.6,0.1,0.0002833836892755083,1.74057899131113e-05
56,0.65,0.1,0.0003071950180309933,1.764817228205792e-05
57,0.7,0.1,0.00033100522980146935,1.7898523521117106e-05
58,0.75,0.1,0.0003548149062347487,1.8154186491732707e-05
59,0.8,0.1,0.00037862437209326466,1.8413130216886795e-05
60,0.85,0.1,0.0004024337831588996,1.867392802437254e-05
61,0.9,0.1,0.0004262431661075418,1.893561495478229e-05
62,0.95,0.1,0.00045005256874174364,1.9197521641059384e-05
63,1.0,0.1,0.00047386190908591213,1.9459108792459885e-05
64,0.0,0.15,4.6885964469519456e-32,2.0235146684436585e-33
65,0.05,0.15,2.1135147101933455e-05,2.594412093513816e-06
66,0.1,0.15,4.3766554572867935e-05,4.8551095218858495e-06
67,0.15,0.15,6.736138293948685e-05,6.5426446027055594e-06
68,0.2,0.15,9.138543042561333e-05,7.652024148564442e-06
69,0.25,0.15,0.00011551852624474251,8.334343547193621e-06
70,0.3,0.15,0.00013962666921264638,8.763209524470611e-06
71,0.35,0.15,0.00016366803449520317,9.063093568585778e-06
72,0.4,0.15,0.00018764064522530562,9.307860895676496e-06
73,0.45,0.15,0.00021155688229660652,9.536029299718416e-06
74,0.5,0.15,0.0002354320351786934,9.765027114024497e-06
75,0.55,0.15,0.0002592795164258964,1.0001025229369729e-05
76,0.6,0.15,0.0002831095466746484,1.0244862227631982e-05
77,0.65,0.15,0.0003069292028979103,1.0495277390410031e-05
78,0.7,0.15,0.00033074315000372747,1.0750503011276387e-05
79,0.75,0.15,0.00035455416827871234,1.1008936951386589e-05
80,0.8,0.15,0.0003783638657755667,1.1269350585400495e-05
81,0.85,0.15,0.0004021730954681994,1.1530882628802434e-05
82,0.9,0.15,0.0004259822271110361,1.1792952401071162e-05
83,0.95,0.15,0.0004497914436834829,1.2055151105590972e-05
84,1.0,0.15,0.0004736006622724927,1.2317111741281817e-05
85,0.0,0.2,4.6647921275179125e-32,1.246445366261907e-34
86,0.05,0.2,2.1039184388541094e-05,7.780914391614052e-08
87,0.1,0.2,4.349549416525493e-05,2.5423049470180006e-07
88,0.15,0.2,6.692892693432138e-05,5.403653661928079e-07
89,0.2,0.2,9.088318228481958e-05,8.67316291082294e-07
90,0.25,0.2,0.00011502884332367281,1.1844598137285157e-06
91,0.3,0.2,0.00013918615111425107,1.4790824664698507e-06
92,0.35,0.2,0.00016328178209650842,1.7566033662888903e-06
93,0.4,0.2,0.00018729961770361624,2.0246699118642303e-06
94,0.45,0.2,0.00021124847790703234,2.2885089104893264e-06
95,0.5,0.2,0.00023514494054895473,2.5508710224654227e-06
96,0.55,0.2,0.00025900523291468486,2.812945162626888e-06
97,0.6,0.2,0.0002828423559854608,3.0751296271346325e-06
98,0.65,0.2,0.0003066655745976098,3.337489139259937e-06
99,0.7,0.2,0.0003304810740747605,3.5999814230284725e-06
100,0.75,0.2,0.00035429260104933544,3.8625486453111745e-06
101,0.8,0.2,0.00037810233214016813,4.1251483504385445e-06
102,0.85,0.2,0.00040191142958956305,4.387756269627191e-06
103,0.9,0.2,0.00042572041580951365,4.650359064653565e-06
104,0.95,0.2,0.0004495295357165174,4.912940966282533e-06
105,1.0,0.2,0.0004733387067384922,5.175446556621782e-06
106,0.0,0.25,4.659335709180556e-32,-1.7351097679951727e-33
107,0.05,0.25,2.112158264756455e-05,-2.4609096634598237e-06
108,0.1,0.25,4.363570618069273e-05,-4.320352463603554e-06
109,0.15,0.25,6.704517266813734e-05,-5.399375635922509e-06
110,0.2,0.25,9.09244424650695e-05,-5.864476670281978e-06
111,0.25,0.25,0.00011498764239237336,-5.9391617596517e-06
112,0.3,0.25,0.0001390758316443903,-5.798157767848316e-06
113,0.35,0.25,0.000163119524664789,-5.552261812874144e-06
114,0.4,0.25,0.000187100583981852,-5.263642674544304e-06
115,0.45,0.25,0.00021102453065650512,-4.963831559916556e-06
116,0.5,0.25,0.0002349047918486356,-4.666826453523173e-06
117,0.55,0.25,0.0002587549811486742,-4.377380656832048e-06
118,0.6,0.25,0.0002825860843005546,-4.095862448957474e-06
119,0.65,0.25,0.00030640589654722756,-3.820914353162626e-06
120,0.7,0.25,0.000330219584039238,-3.5507813925653917e-06
121,0.75,0.25,0.0003540302201776987,-3.283888714363738e-06
122,0.8,0.25,0.00037783955852162417,-3.0190202665471874e-06
123,0.85,0.25,0.0004016485100911735,-2.7553133862300865e-06
124,0.9,0.25,0.0004254574592616296,-2.4921820811729647e-06
125,0.95,0.25,0.0004492665868450724,-2.229223294930451e-06
