Element,xc,yc,S11,S22,S12,E11,E22,G12
1,0.0277777777777778,-0.186666666666667,122270255.642791,8920805.4334701,17875067.9587555,0.00056949530482262,-0.000132191767901749,0.00022131036520364
2,0.0138888888888889,-0.173333333333333,106212800.111774,31863840.0335323,16815973.3747822,0.000460255467151022,0,0.000208197765592542
3,0.0694444444444444,-0.186666666666667,99669316.9865221,1503207.58120459,5257942.0192212,0.000472468355772194,-0.000135226607213105,6.50983297617863e-05
4,0.0555555555555556,-0.173333333333333,103173022.426167,3191635.46848282,3821833.15126286,0.000486740627550582,-0.000132191767901749,4.73179342537306e-05
5,0.111111111111111,-0.186666666666667,94417954.813221,-41235.3564712107,1925007.36480848,0.000449668216286487,-0.000135079151430655,2.38334245166764e-05
6,0.0972222222222222,-0.173333333333333,100313324.005945,1696409.68703154,-216634.332852201,0.000475259052856361,-0.000135226607213105,-2.68213935912249e-06
7,0.152777777777778,-0.186666666666667,93778618.2276932,-431828.836901132,608040.438780837,0.000447181747041731,-0.000136025782405758,7.52811971823893e-06
8,0.138888888888889,-0.173333333333333,98907151.3529841,1305523.60545772,-1311244.24270179,0.000469121401292128,-0.000135079151430655,-1.62344525286888e-05
9,0.194444444444444,-0.186666666666667,94626570.8599084,-473998.676290341,46889.4854960127,0.000451279859346645,-0.000137437952067918,5.8053648709349e-07
10,0.180555555555556,-0.173333333333333,98453160.1908791,970533.752054598,-1422074.96570717,0.00046743809554887,-0.000136025782405758,-1.7606642432565e-05
11,0.236111111111111,-0.186666666666667,95842092.4903376,-405322.068223938,-173748.133160018,0.000456969948146689,-0.000138847380072977,-2.15116736293356e-06
12,0.222222222222222,-0.173333333333333,98492602.4148768,685810.790200189,-1213790.25070771,0.000468032662751508,-0.000137437952067918,-1.50278792944765e-05
13,0.277777777777778,-0.186666666666667,96994958.2323791,-311398.30371391,-234519.333022681,0.000462325608207111,-0.00014004707511156,-2.90357269456653e-06
14,0.263888888888889,-0.173333333333333,98738707.4513904,463662.420091908,-933002.979199302,0.000469521946311252,-0.000138847380072977,-1.15514654567533e-05
15,0.319444444444444,-0.186666666666667,97939118.8073891,-223929.596740484,-223420.810695511,0.000466696655649577,-0.000140979358280749,-2.7661624181349e-06
16,0.305555555555556,-0.173333333333333,99035431.6523581,300743.722279787,-671874.818986823,0.000471167659693687,-0.00014004707511156,-8.31845013983686e-06
17,0.361111111111111,-0.186666666666667,98651068.4972847,-153048.911944475,-184828.306077491,0.000469985634146991,-0.000141658902195857,-2.28835045619751e-06
18,0.347222222222222,-0.173333333333333,99308486.7708804,186880.792306907,-460050.891604252,0.000472630583491373,-0.000140979358280749,-5.69586818176693e-06
19,0.402777777777778,-0.186666666666667,99157240.3476138,-99955.1268008053,-140622.991446771,0.000472320128026924,-0.000142129177290881,-1.74104656076954e-06
20,0.388888888888889,-0.173333333333333,99529937.5700969,110611.809899196,-301096.670238363,0.000473794066795844,-0.000141658902195857,-3.7278635362845e-06
21,0.444444444444444,-0.186666666666667,99499897.3730976,-62367.2333333828,-100674.858054252,0.000473898131157608,-0.000142439697358394,-1.24645062352883e-06
22,0.430555555555556,-0.173333333333333,99695773.8327618,61604.9187435769,-188327.753017002,0.000474653773129232,-0.000142129177290881,-2.33167694211527e-06
23,0.486111111111111,-0.186666666666667,99721452.2901352,-36989.6318408921,-68504.9345540509,0.000474916900855655,-0.00014263535866134,-8.48156332573964e-07
24,0.472222222222222,-0.173333333333333,99812735.1734525,31484.1067730673,-112017.862302418,0.000475253761625812,-0.000142439697358394,-1.38688781898232e-06
25,0.527777777777778,-0.186666666666667,99858054.1566615,-20607.0978514068,-44458.5392685633,0.000475543982314366,-0.000142752492118333,-5.50439057610784e-07
26,0.513888888888889,-0.173333333333333,99891101.3708277,13905.0923668742,-62632.8573107739,0.000475652046871989,-0.00014263535866134,-7.75454423847678e-07
27,0.569444444444445,-0.186666666666667,99937823.5333469,-10514.7799127847,-27479.0444882118,0.000475909418892004,-0.00014281838971389,-3.40216741282623e-07
28,0.555555555555555,-0.173333333333333,99941100.4257065,4306.78286210448,-32120.0623491678,0.000475903849480228,-0.000142752492118333,-3.97676962418268e-07
29,0.611111111111111,-0.186666666666667,99981277.9146654,-4623.34815822542,-16062.7766262902,0.000476107928186252,-0.000142852412964561,-1.98872472515974e-07
30,0.597222222222222,-0.173333333333333,99971390.0089394,-444.837235078216,-14237.1615777468,0.000476054873619571,-0.00014281838971389,-1.76269619534008e-07
31,0.652777777777778,-0.186666666666667,100002627.542145,-1414.51578740031,-8733.80528289627,0.000476205009032765,-0.000142867632278242,-1.08132827312049e-07
32,0.638888888888889,-0.173333333333333,99988647.5274206,-2412.4643316716,-4432.86575251446,0.000476139863174858,-0.000142852412964561,-5.48830997930362e-08
33,0.694444444444445,-0.186666666666667,100011258.69435,160.961703337729,-4245.12147603777,0.000476243859075424,-0.000142872460221913,-5.25586468461819e-08
34,0.680555555555555,-0.173333333333333,99997693.8592112,-2894.62066740543,447.899165455441,0.000476183629740054,-0.000142867632278242,5.54541823897213e-09
35,0.736111111111111,-0.186666666666667,100013083.753904,795.932783935219,-1632.90890234449,0.00047625164273366,-0.000142872043778034,-2.02169673623603e-08
36,0.722222222222222,-0.173333333333333,100001826.53609,-2668.68577459082,2493.06430618277,0.000476202986389632,-0.000142872460221913,3.0866510457501e-08
37,0.777777777777778,-0.186666666666667,100011638.861476,928.677425671369,-200.233182738756,0.000476244572658324,-0.000142869347528653,-2.47907750057508e-09
38,0.763888888888889,-0.173333333333333,100003192.97304,-2171.30147520453,3020.00563380165,0.00047620878268325,-0.000142872043778034,3.73905459423061e-08
39,0.819444444444445,-0.186666666666667,100008915.775862,826.476106442511,525.408780105003,0.000476231751585858,-0.000142865944079296,6.50506108701432e-09
40,0.805555555555555,-0.173333333333333,100003125.624357,-1625.2937098667,2814.39537217007,0.000476207681964144,-0.000142869347528653,3.48448950840104e-08
41,0.861111111111111,-0.186666666666667,100005964.378491,650.095179181546,836.107385490243,0.000476217949285417,-0.000142862567706515,1.03518057251173e-08
42,0.847222222222222,-0.173333333333333,100002411.699612,-1124.74676865712,2307.93269704767,0.00047620356725544,-0.000142865944079296,2.85744048205902e-08
43,0.902777777777778,-0.186666666666667,100003320.143485,497.471888460219,877.948894794025,0.000476205575723421,-0.00014285951700551,1.08698434593546e-08
44,0.888888888888889,-0.173333333333333,100001496.5178,-690.263028297573,1702.35822163421,0.000476198588555753,-0.000142862567706515,2.10768160773759e-08
45,0.944444444444445,-0.186666666666667,100001308.02809,406.487076960504,680.647731205976,0.000476196124199843,-0.000142857075815953,8.42706714826447e-09
46,0.930555555555555,-0.173333333333333,100000635.027952,-308.062771547586,1053.68188433119,0.000476193940222776,-0.00014285951700551,1.30455852345767e-08
47,0.986111111111111,-0.186666666666667,100000242.050254,223.073513876647,232.368244117474,0.000476191310134284,-0.000142856426388392,2.87694016526396e-09
48,0.972222222222222,-0.173333333333333,100000032.608603,23.8612306900322,342.690992004731,0.000476190597382064,-0.000142857075815953,4.24284085339191e-09
49,0.0277777777777778,-0.146666666666667,101123376.991169,14899096.2981813,14513648.0819686,0.000460255467151022,-7.35138895198545e-05,0.000179692785776755
50,0.0138888888888889,-0.133333333333333,99897850.7372001,29969355.22116,11115819.4797043,0.000432890686527867,0,0.000137624431653481
