Node,x,y,Ux,Uy
1,0,-0.2,0,0
2,0.0416666666666667,-0.2,2.37289710342758e-05,1.39625776157592e-05
3,0.0833333333333333,-0.2,4.34151525247839e-05,2.07968641810598e-05
4,0.125,-0.2,6.21513282033876e-05,2.48010663016911e-05
5,0.166666666666667,-0.2,8.07839009967931e-05,2.71736387844363e-05
6,0.208333333333333,-0.2,9.958722846957e-05,2.85554162973845e-05
7,0.25,-0.2,0.000118627642975682,2.93432202729696e-05
8,0.291666666666667,-0.2,0.000137891209984312,2.97873329628555e-05
9,0.333333333333333,-0.2,0.000157336903969711,3.0043117085956e-05
10,0.375,-0.2,0.000176919638725835,3.02040118921762e-05
11,0.416666666666667,-0.2,0.00019659964406029,3.03237379905271e-05
12,0.458333333333333,-0.2,0.000216345399525191,3.04312752923558e-05
13,0.5,-0.2,0.00023613360372751,3.05407874964917e-05
14,0.541666666666667,-0.2,0.000255947936323942,3.06580142851043e-05
15,0.583333333333333,-0.2,0.000275777495444442,3.07842420648388e-05
16,0.625,-0.2,0.000295615325785536,3.0918661904673e-05
17,0.666666666666667,-0.2,0.000315457201161901,3.10596900742513e-05
18,0.708333333333333,-0.2,0.000335300695290044,3.12056479551411e-05
19,0.75,-0.2,0.000355144513737279,3.13550652264968e-05
20,0.791666666666667,-0.2,0.000374988037598043,3.15067749609315e-05
21,0.833333333333333,-0.2,0.000394831027247454,3.16599037229163e-05
22,0.875,-0.2,0.000414673441801013,3.1813816985979e-05
23,0.916666666666667,-0.2,0.000434515340789489,3.19680550964328e-05
24,0.958333333333333,-0.2,0.000454356845964482,3.21222862152116e-05
25,1,-0.2,0.000474198150553411,3.22763170141257e-05
26,0,-0.16,0,0
27,0.0416666666666667,-0.16,1.91773111312926e-05,8.67490689968924e-06
28,0.0833333333333333,-0.16,3.94581706125668e-05,1.53877998925356e-05
29,0.125,-0.16,5.92606311482486e-05,1.93979002444649e-05
30,0.166666666666667,-0.16,7.88073562020872e-05,2.1732607488206e-05
31,0.208333333333333,-0.16,9.82839435166235e-05,2.30578982146678e-05
32,0.25,-0.16,0.000117785304464603,2.37893250700505e-05
33,0.291666666666667,-0.16,0.000137348718894238,2.41854499583931e-05
