Elem,xc,yc,s11,s22,s12,e11,e22,g12
1,0.0277777777777778,0.0133333333333333,122270255.642767,8920805.4334679,17875067.9587533,0.000569495304822506,-0.000132191767901724,0.000221310365203612
2,0.0138888888888889,0.0266666666666667,106212800.111757,31863840.0335272,16815973.3747785,0.000460255467150948,0,0.000208197765592496
3,0.0694444444444444,0.0133333333333333,99669316.9865017,1503207.58120365,5257942.0192209,0.000472468355772098,-0.00013522660721308,6.50983297617825e-05
4,0.0555555555555556,0.0266666666666667,103173022.426151,3191635.46848319,3821833.15126101,0.000486740627550504,-0.000132191767901724,4.73179342537077e-05
5,0.111111111111111,0.0133333333333333,94417954.8132023,-41235.3564718887,1925007.36480856,0.000449668216286399,-0.000135079151430631,2.38334245166775e-05
6,0.0972222222222222,0.0266666666666667,100313324.00593,1696409.68703224,-216634.332853563,0.000475259052856289,-0.00013522660721308,-2.68213935913935e-06
7,0.152777777777778,0.0133333333333333,93778618.2276758,-431828.836901791,608040.438780942,0.000447181747041649,-0.000136025782405736,7.52811971824023e-06
8,0.138888888888889,0.0266666666666667,98907151.35297,1305523.60545839,-1311244.242703,0.000469121401292059,-0.000135079151430631,-1.62344525287039e-05
9,0.194444444444444,0.0133333333333333,94626570.8598919,-473998.676290903,46889.4854960827,0.000451279859346568,-0.000137437952067898,5.80536487094357e-07
10,0.180555555555556,0.0266666666666667,98453160.190866,970533.752055284,-1422074.96570837,0.000467438095548807,-0.000136025782405736,-1.76066424325799e-05
11,0.236111111111111,0.0133333333333333,95842092.4903219,-405322.068224486,-173748.133160158,0.000456969948146616,-0.000138847380072957,-2.15116736293529e-06
12,0.222222222222222,0.0266666666666667,98492602.4148643,685810.790200822,-1213790.250709,0.000468032662751448,-0.000137437952067898,-1.50278792944924e-05
13,0.277777777777778,0.0133333333333333,96994958.2323645,-311398.303714506,-234519.333022716,0.000462325608207042,-0.000140047075111542,-2.90357269456696e-06
14,0.263888888888889,0.0266666666666667,98738707.4513789,463662.42009259,-933002.97920052,0.000469521946311196,-0.000138847380072957,-1.15514654567683e-05
15,0.319444444444444,0.0133333333333333,97939118.8073753,-223929.596740931,-223420.810695511,0.000466696655649512,-0.000140979358280731,-2.7661624181349e-06
16,0.305555555555556,0.0266666666666667,99035431.6523476,300743.722280424,-671874.818987997,0.000471167659693635,-0.000140047075111542,-8.31845013985139e-06
17,0.361111111111111,0.0133333333333333,98651068.4972722,-153048.911944978,-184828.306077491,0.000469985634146932,-0.000141658902195841,-2.28835045619751e-06
18,0.347222222222222,0.0266666666666667,99308486.7708708,186880.79230769,-460050.891605251,0.000472630583491326,-0.000140979358280731,-5.69586818177929e-06
19,0.402777777777778,0.0133333333333333,99157240.3476023,-99955.1268011332,-140622.991446911,0.00047232012802687,-0.000142129177290866,-1.74104656077128e-06
20,0.388888888888889,0.0266666666666667,99529937.5700878,110611.809899684,-301096.670239545,0.000473794066795799,-0.000141658902195841,-3.72786353629913e-06
21,0.444444444444444,0.0133333333333333,99499897.373087,-62367.2333336882,-100674.858054252,0.000473898131157557,-0.00014243969735838,-1.24645062352883e-06
22,0.430555555555556,0.0266666666666667,99695773.8327536,61604.918744266,-188327.753018036,0.000474653773129192,-0.000142129177290866,-2.33167694212806e-06
23,0.486111111111111,0.0133333333333333,99721452.2901262,-36989.6318411864,-68504.934554191,0.000474916900855612,-0.000142635358661329,-8.48156332575699e-07
24,0.472222222222222,0.0266666666666667,99812735.1734448,31484.1067736633,-112017.862303171,0.000475253761625775,-0.00014243969735838,-1.38688781899164e-06
25,0.527777777777778,0.0133333333333333,99858054.1566536,-20607.0978517123,-44458.5392689837,0.000475543982314329,-0.000142752492118323,-5.50439057615988e-07
26,0.513888888888889,0.0266666666666667,99891101.3708213,13905.0923673622,-62632.8573117722,0.000475652046871958,-0.000142635358661329,-7.75454423860037e-07
27,0.569444444444445,0.0133333333333333,99937823.5333403,-10514.779912971,-27479.0444886322,0.000475909418891972,-0.000142818389713881,-3.40216741287827e-07
28,0.555555555555555,0.0266666666666667,99941100.4257014,4306.78286261111,-32120.062350096,0.000475903849480203,-0.000142752492118323,-3.9767696242976e-07
29,0.611111111111111,0.0133333333333333,99981277.9146609,-4623.34815809876,-16062.7766265704,0.00047610792818623,-0.000142852412964554,-1.98872472519443e-07
30,0.597222222222222,0.0266666666666667,99971390.0089353,-444.837234456092,-14237.1615783773,0.000476054873619551,-0.000142818389713881,-1.76269619541814e-07
31,0.652777777777778,0.0133333333333333,100002627.54214,-1414.51578747481,-8733.80528345672,0.000476205009032746,-0.000142867632278236,-1.08132827318988e-07
32,0.638888888888889,0.0266666666666667,99988647.5274169,-2412.46433130279,-4432.86575315372,0.000476139863174839,-0.000142852412964554,-5.48830998009509e-08
33,0.694444444444445,0.0133333333333333,100011258.694347,160.961703434587,-4245.121476318,0.000476243859075408,-0.000142872460221908,-5.25586468496514e-08
34,0.680555555555555,0.0266666666666667,99997693.8592089,-2894.62066693604,447.899164816179,0.000476183629740043,-0.000142867632278236,5.54541823105745e-09
35,0.736111111111111,0.0133333333333333,100013083.753902,795.932784166187,-1632.90890290494,0.00047625164273365,-0.00014287204377803,-2.02169673692992e-08
36,0.722222222222222,0.0266666666666667,100001826.536088,-2668.68577423319,2493.06430561356,0.00047620298638962,-0.000142872460221908,3.08665104504537e-08
37,0.777777777777778,0.0133333333333333,100011638.861474,928.677425522357,-200.233183159093,0.000476244572658316,-0.000142869347528651,-2.47907750577925e-09
38,0.763888888888889,0.0266666666666667,100003192.973038,-2171.30147485062,3020.00563303103,0.000476208782683242,-0.00014287204377803,3.73905459327651e-08
39,0.819444444444445,0.0133333333333333,100008915.775861,826.47610681504,525.408779404441,0.000476231751585851,-0.000142865944079293,6.5050610783407e-09
40,0.805555555555555,0.0266666666666667,100003125.624357,-1625.29370965809,2814.3953718373,0.000476207681964141,-0.000142869347528651,3.48448950798904e-08
41,0.861111111111111,0.0133333333333333,100005964.378491,650.095179319382,836.107385210018,0.000476217949285413,-0.000142862567706514,1.03518057216478e-08
42,0.847222222222222,0.0266666666666667,100002411.699611,-1124.74676828459,2307.93269698637,0.000476203567255433,-0.000142865944079293,2.85744048198313e-08
43,0.902777777777778,0.0133333333333333,100003320.143485,497.471888486296,877.948894794025,0.000476205575723421,-0.000142859517005509,1.08698434593546e-08
44,0.888888888888889,0.0266666666666667,100001496.5178,-690.263027921319,1702.35822138901,0.000476198588555753,-0.000142862567706514,2.10768160743401e-08
45,0.944444444444445,0.0133333333333333,100001308.02809,406.487077191472,680.647731346088,0.000476196124199841,-0.000142857075815951,8.42706714999919e-09
46,0.930555555555555,0.0266666666666667,100000635.027952,-308.06277128309,1053.68188438373,0.00047619394022278,-0.000142859517005509,1.30455852352272e-08
47,0.986111111111111,0.0133333333333333,100000242.050254,223.073514502496,232.368244117474,0.000476191310134284,-0.000142856426388389,2.87694016526396e-09
48,0.972222222222222,0.0266666666666667,100000032.608602,23.861230801791,342.690992188629,0.00047619059738206,-0.000142857075815951,4.24284085566873e-09
49,0.0277777777777778,0.0533333333333333,101123376.991153,14899096.2981787,14513648.0819668,0.000460255467150948,-7.35138895198435e-05,0.000179692785776732
50,0.0138888888888889,0.0666666666666667,99897850.7371881,29969355.2211564,11115819.4797014,0.000432890686527815,0,0.000137624431653446
51,0.0694444444444444,0.0533333333333333,104121682.435324,6353835.49905975,8806781.29579903,0.000486740627550504,-0.000118488901102559,0.00010903633985275
52,0.0555555555555556,0.0666666666666667,102014093.774125,15166311.3330703,7223066.37982537,0.000464115239877161,-7.35138895198435e-05,8.9428440893076e-05
53,0.111111111111111,0.0533333333333333,100489360.17552,2283196.91899842,3676023.11749492,0.000475259052856289,-0.000132683862541227,4.55126671689847e-05
54,0.0972222222222222,0.0666666666666667,101769692.122118,5648238.40509809,2466866.24339149,0.000476548669526613,-0.000118488901102559,3.05421534896089e-05
55,0.152777777777778,0.0533333333333333,98697524.0554016,606765.946897205,1152687.67333395,0.000469121401292059,-0.000138107101284397,1.42713711936584e-05
56,0.138888888888889,0.0666666666666667,101059766.678319,2454318.86983805,7828.4267661458,0.000477730814368417,-0.000132683862541227,9.69233790094242e-08
57,0.194444444444444,0.0533333333333333,98138902.3943234,-76992.2364201955,-3877.18877344334,0.000467438095548807,-0.00014056506168913,-4.80032895759652e-08
58,0.180555555555556,0.0666666666666667,100503766.665626,1148638.72996464,-994613.890006549,0.000476948452603033,-0.000138107101284397,-1.23142672096049e-05
59,0.236111111111111,0.0533333333333333,98190750.5214283,-320362.18791936,-465258.878243807,0.000468032662751448,-0.000141798034973085,-5.7603480163519e-06
60,0.222222222222222,0.0666666666666667,100168134.668464,531777.445822109,-1250662.31349914,0.000476231435403418,-0.00014056506168913,-1.54843905480846e-05
61,0.277777777777778,0.0533333333333333,98489980.4714327,-365427.513061322,-582165.457163456,0.000469521946311196,-0.000142440103116624,-7.20776280297613e-06
62,0.263888888888889,0.0666666666666667,99996548.0641681,221377.074902572,-1165013.82117554,0.000475857785436654,-0.000141798034973085,-1.44239806431257e-05
63,0.319444444444444,0.0533333333333333,98847080.5293352,-327093.354427658,-541642.548745921,0.000471167659693635,-0.000142767702443944,-6.70605060352093e-06
64,0.305555555555556,0.0666666666666667,99925365.2007779,65187.9057422616,-951899.983362948,0.000475741946805025,-0.000142440103116624,-1.1785428365446e-05
65,0.361111111111111,0.0533333333333333,99174067.2096543,-261184.411747023,-442208.122678013,0.000472630583491326,-0.000142920974164968,-5.47495770934683e-06
66,0.347222222222222,0.0666666666666667,99908180.1463668,-8763.46931817383,-717869.280444089,0.000475765758034106,-0.000142767702443944,-8.88790537692682e-06
67,0.402777777777778,0.0533333333333333,99438582.4794019,-193905.159053203,-333129.52133875,0.000473794066795799,-0.00014297847572797,-4.12446074038453e-06
68,0.388888888888889,0.0666666666666667,99916134.5818259,-38564.2000955418,-510244.279845837,0.000475846208770736,-0.000142920974164968,-6.31731013142465e-06
69,0.444444444444444,0.0533333333333333,99636441.5475804,-136169.365166411,-236411.389047397,0.000474653773129192,-0.000142986199187812,-2.92699815011063e-06
70,0.430555555555556,0.0666666666666667,99933090.9544592,-45552.6165360063,-344968.74073561,0.000475936936854381,-0.00014297847572797,-4.2710415519647e-06
71,0.486111111111111,0.0533333333333333,99775954.4689724,-91118.2414675951,-159490.527623274,0.000475253761625775,-0.000142970974200759,-1.97464462771673e-06
